target,Sales_Change,Employee_Change,Civilian_labor_force_2019,Median_Household_Income_2018,Location Employee Size Actual,Location Sales Volume Actual,Years In Database,Square Footage,Credit Score Alpha,Grocery_within_Zip,Supermarket_within_5_miles,Google_Scores,Google_Reviews,County_Atlantic,County_Bergen,County_Burlington,County_Camden,County_Cape May,County_Cumberland,County_Essex,County_Gloucester,County_Hudson,County_Hunterdon,County_Mercer,County_Middlesex,County_Monmouth,County_Morris,County_Ocean,County_Passaic,County_Salem,County_Somerset,County_Sussex,County_Union,County_Warren
0,0.0,0.0,56060,77571,5,267000.0,10,1999.5,1,23,1,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,-0.33,-0.33,242208,71959,2,416000.0,6,1999.5,0,250,29,4.4,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0.0,0.0,328661,99223,3,687000.0,12,750.0,1,86,10,3.2,11.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.0,0.0,242208,71959,2,416000.0,12,1999.5,1,65,24,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1.5,1.5,45947,62175,2,817000.0,7,1999.5,0,18,2,4.4,20.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.25,-0.25,361189,73337,3,692000.0,21,1999.5,2,47,20,4.4,20.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.33,-0.33,361189,73337,2,461000.0,6,1999.5,0,210,55,3.5,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.33,-0.33,361189,73337,2,461000.0,8,1999.5,1,149,59,4.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.33,-0.33,242208,71959,2,416000.0,8,1999.5,1,77,29,4.4,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,-0.33,-0.33,368748,62875,2,486000.0,14,750.0,1,220,26,4.4,20.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.33,-0.33,368748,62875,2,486000.0,12,1999.5,1,80,24,4.4,20.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.33,-0.33,368748,62875,2,486000.0,10,1999.5,1,220,26,3.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.4,-0.4,275023,68483,6,317000.0,8,1999.5,1,79,8,4.4,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,-0.33,-0.33,368748,62875,2,486000.0,7,1999.5,0,158,17,4.4,20.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.4,-0.4,361189,73337,3,692000.0,9,1999.5,1,106,18,4.4,20.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.33,-0.33,368748,62875,2,486000.0,8,1999.5,1,108,17,4.4,20.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.33,-0.33,276382,80737,2,481000.0,11,1999.5,1,19,15,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,-0.33,-0.33,242208,71959,2,416000.0,7,1999.5,0,250,29,4.4,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,-0.33,-0.33,361189,73337,2,461000.0,9,1999.5,1,106,18,4.4,20.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
